"Time"	kdgR	eda	gntR	idnR	idnO	idnT	idnK	gntU	gntK	idnD
450	0.5819839	0.0000792	0.6210557	0.0010447	0.1035755	0.1167436	0.1455361	0.7307842	0.3308156	0.1210210
500	0.7016929	0.0023426	0.6212720	0.0030942	0.1497047	0.1251636	0.1330525	0.6472552	0.2481773	0.0738515
550	0.5475341	0.0005672	0.6657048	0.0516871	0.1683912	0.1843708	0.1355762	0.6562047	0.2614153	0.0533087
600	0.7147076	0.0014491	0.7938918	0.0348842	0.2006062	0.1806059	0.1388228	0.6176225	0.2488758	0.0430468
650	0.5923157	0.0007530	0.6604094	0.0334111	0.1196592	0.1226956	0.1223369	0.8026502	0.4291752	0.0433780
700	0.6721117	0.0007006	0.7239354	0.0444798	0.1457906	0.1472550	0.1357478	0.6162872	0.3705149	0.1035052
750	0.7783001	0.0001090	0.5726723	0.0654157	0.0981880	0.1795171	0.1575214	0.7351465	0.3977317	0.0761767
800	0.6462064	0.0002733	0.8208038	0.0494261	0.2193044	0.1609556	0.1079580	0.5388691	0.4200179	0.1328779
850	0.6271355	0.0042785	0.7820104	0.0439456	0.1154204	0.1687425	0.1299964	0.6481017	0.3366691	0.0675003
900	0.6498856	0.0041285	0.6803181	0.0529767	0.1908380	0.1181420	0.1302833	0.7598444	0.3675133	0.0519091
950	0.6931594	0.0060335	0.6938678	0.0605259	0.1205898	0.1290181	0.0932991	0.6274305	0.2981986	0.0829933
1000	0.6884389	0.0025135	0.6784246	0.0565123	0.1841069	0.1658001	0.1689923	0.6917042	0.2670321	0.1416559

0	0.8145315	0.0029566	0.6341103	0.0276457	0.1423850	0.1469026	0.1680551	0.6545864	0.3480727	0.0808215
50	0.5076008	0.0037236	0.6627309	0.0295049	0.1627239	0.1266449	0.1633263	0.6025435	0.2485770	0.0645659
100	0.6931055	0.0052127	0.6872930	0.0307512	0.1420996	0.0985367	0.1485796	0.6406566	0.4117916	0.0925125
150	0.7303392	0.0028862	0.7423876	0.0055903	0.1463681	0.0916308	0.1387824	0.7347599	0.4108666	0.0684296
200	0.6277892	0.0024842	0.7429679	0.0042525	0.1456743	0.0834779	0.1462718	0.6579926	0.2978988	0.0263512
250	0.6343553	0.0030189	0.6779043	0.0145827	0.2174300	0.1265083	0.1094472	0.7131331	0.3310689	0.0299418
300	0.6499685	0.0013224	0.6488423	0.0041807	0.2084974	0.1362369	0.0978360	0.7340403	0.3411219	0.0258935
350	0.6893667	0.0142314	0.6462373	0.0144285	0.1479906	0.1056716	0.1108521	0.6954171	0.2891275	0.0204875
400	0.5935619	0.0052571	0.5771134	0.0014394	0.1282426	0.0677363	0.1009761	0.6757119	0.3590092	0.0541957
450	0.6192019	0.0002894	0.6719161	0.0013894	0.1487298	0.1664402	0.1134263	0.6438106	0.4286799	0.0276718
500	0.6398224	0.0083939	0.5346741	0.0006582	0.1507404	0.1114463	0.1062588	0.5492856	0.3332655	0.0228132
550	0.6232790	0.0019641	0.7153999	0.0530950	0.1759541	0.1686958	0.1431468	0.6784102	0.3446566	0.0309133
600	0.5920353	0.0019835	0.7090217	0.0404002	0.1767624	0.1861541	0.1567837	0.7516341	0.2564039	0.0733697
650	0.7051502	0.0000000	0.6485662	0.0489596	0.1404119	0.1132158	0.1214542	0.6434003	0.3196820	0.0671590
700	0.6426456	0.0042062	0.7858404	0.0435338	0.1273619	0.1060158	0.0880241	0.6778116	0.3119347	0.1184533
750	0.6071357	0.0024653	0.6549416	0.0593805	0.1363691	0.1591728	0.1246713	0.5717057	0.3746467	0.0608819
800	0.6567572	0.0034163	0.6902189	0.0464316	0.1771511	0.1483328	0.1100083	0.6845825	0.3217831	0.0889399
850	0.6505669	0.0016783	0.7581216	0.0481799	0.1926847	0.1384999	0.1093606	0.7970339	0.3988779	0.0696864
900	0.6391530	0.0041657	0.7106196	0.0249684	0.2080623	0.1228203	0.1299677	0.6317625	0.3880526	0.0706714
950	0.7227368	0.0098949	0.4874613	0.0598621	0.1444701	0.1043061	0.1080011	0.6727903	0.3240310	0.0802208
1000	0.7430783	0.0025843	0.6480403	0.0431153	0.1878542	0.1451371	0.1404350	0.8102690	0.2747079	0.0886262
