"Time"	relE	relB	hokD	alaS	ilvN
800	0.0706931	0.7741637	0.0664255	0.7057036	0.7761895
850	0.0645485	0.6865991	0.0666789	0.6674758	0.9035648
900	0.0831159	0.7073060	0.0575589	0.6092378	0.8503353
950	0.0722195	0.7506161	0.0622763	0.7074234	0.5892150
1000	0.0902660	0.6305514	0.0809058	0.8175599	0.6060659

0	0.0669861	0.7594685	0.0607189	0.5440218	0.6620339
50	0.0363436	0.7513647	0.0804846	0.7427805	0.5954195
100	0.0517734	0.6688603	0.1126092	0.7290897	0.3187687
150	0.0526526	0.6508756	0.1121246	0.6070715	0.4090722
200	0.0972948	0.5720550	0.0865829	0.7378990	0.3345093
250	0.0828440	0.7855836	0.0691612	0.7104745	0.2835232
300	0.0685650	0.6154878	0.0904422	0.8559250	0.3205585
350	0.0551881	0.6003592	0.0661523	0.6409465	0.2601204
400	0.0727950	0.6203157	0.0750326	0.7854584	0.2848708
450	0.0354509	0.7570392	0.0854019	0.5719743	0.3249870
500	0.0864959	0.7816582	0.0892835	0.6737787	0.3034321
550	0.0493230	0.7670224	0.0813354	0.8508596	0.4621785
600	0.0858343	0.7109989	0.0766654	0.6516531	0.7013429
650	0.0700581	0.7153615	0.0656111	0.7100450	0.6103873
700	0.1004193	0.6058626	0.0339755	0.5913562	0.5457630
750	0.0879834	0.7935627	0.1148711	0.6613402	0.5859659
800	0.0805607	0.6636478	0.0799781	0.8104842	0.7876942
850	0.0681976	0.7430540	0.0756607	0.6658043	0.7003047
900	0.0727413	0.8042264	0.1109528	0.7384831	0.7372184
950	0.0578828	0.6729206	0.0598616	0.8143695	0.6498184
1000	0.0583642	0.7439540	0.0970124	0.6915800	0.7097973

0	0.0665336	0.8040088	0.0603026	0.7130040	0.7218283
50	0.0694680	0.7384700	0.0397695	0.8089336	0.7851740
100	0.0634472	0.6667476	0.0119992	0.7439001	0.7650661
150	0.0850533	0.7868201	0.0257027	0.5280654	0.7415057
200	0.0818697	0.8722773	0.0015365	0.5244660	0.6925497
