"Time"	xylR	arcA	lldR	betI	lldD	betT	betA	lldP	betB	ydeA	puuR	puuD	fadJ	appA	ackA	puuA	hybD	rpsJ	ssb	rplC
700	0.6693594	0.9780053	0.4970570	0.3689694	0.3905734	0.0168567	0.2509559	0.3456040	0.1694911	0.2754910	0.2219855	0.0314232	0.0456546	0.5176086	0.9425083	0.0132928	0.3138810	0.5569929	0.3695548	0.4659276
750	0.7129650	0.9834570	0.5335469	0.3967116	0.3687551	0.0093517	0.2994588	0.2575318	0.1948111	0.2703425	0.1923418	0.0479656	0.0399192	0.5291104	0.9878546	0.0240592	0.2902332	0.5363459	0.3399601	0.4117893
800	0.7858489	0.9278160	0.5175385	0.3454028	0.3720237	0.0187333	0.2598751	0.2265359	0.2111976	0.2128684	0.1686898	0.0437300	0.0385577	0.5746004	1.0401564	0.0275750	0.2686956	0.5484084	0.3045082	0.4487387
850	0.8238714	0.8922570	0.4736696	0.3747268	0.3413187	0.0387745	0.3015870	0.2041222	0.2443588	0.2098287	0.1894907	0.0506622	0.0362609	0.5918819	0.9919739	0.0180105	0.2603024	0.4988760	0.2628355	0.3930911
900	0.7540818	0.9253205	0.5336162	0.3756085	0.4118640	0.0353235	0.3626152	0.2292573	0.2063622	0.2359334	0.2031394	0.0452233	0.0398817	0.4943803	1.0045181	0.0196371	0.2996681	0.5515284	0.2772710	0.4677590
950	0.7721641	0.9591132	0.4790854	0.3998997	0.4425582	0.0255864	0.3408508	0.1976561	0.1789198	0.2354538	0.2790722	0.0663298	0.0386844	0.5172925	0.9409558	0.0234126	0.2519801	0.5324815	0.2801575	0.4399963
1000	0.6446154	0.8951107	0.5569644	0.3980452	0.4059005	0.0294654	0.3230726	0.1991759	0.1784713	0.2757088	0.2651223	0.0526892	0.0488060	0.4800886	0.8354756	0.0198759	0.2741177	0.5257984	0.3406205	0.4644803

0	0.8053952	1.0430033	0.5027263	0.2848109	0.4076368	0.0596438	0.3139982	0.1678955	0.2677928	0.1726433	0.2185841	0.0346736	0.0329177	0.5984516	0.9806326	0.0255934	0.2377669	0.4847804	0.2140663	0.4079076
50	0.7145544	0.9949547	0.2225303	0.2211292	0.3727731	0.0782438	0.2564274	0.1563952	0.2903094	0.1906097	0.1738512	0.0289623	0.0308676	0.5575745	0.9612396	0.0202403	0.2310813	0.4953251	0.1875482	0.4331207
100	0.6828819	0.9976192	0.1820635	0.2975658	0.3505614	0.0873454	0.2513066	0.1354133	0.2765649	0.1872604	0.1956107	0.0368693	0.0130536	0.4950390	0.9642588	0.0334571	0.1917710	0.5318670	0.2295783	0.4183627
