"Time"	kdgR	eda	gntR	idnR	idnO	idnT	idnK	gntU	gntK	idnD
200	0.4727127	0.5348124	0.0734439	0.5341197	0.7324047	0.9858655	0.6001196	0.9994501	0.7416658	0.5200043
250	0.4698895	0.5827907	0.0724517	0.5627476	0.8291956	0.9955802	0.6403391	0.9993112	0.7184727	0.5771639
300	0.4690577	0.5995956	0.0722625	0.5750194	0.8789030	0.9983190	0.6608876	0.9992179	0.7045586	0.6021408
350	0.4688127	0.6054108	0.0722264	0.5802723	0.9031118	0.9990915	0.6707395	0.9991637	0.6978276	0.6127979
400	0.4687405	0.6074100	0.0722195	0.5825194	0.9146032	0.9993099	0.6752836	0.9991349	0.6947990	0.6173237
450	0.4687193	0.6080944	0.0722182	0.5834805	0.9199741	0.9993720	0.6773289	0.9991206	0.6934752	0.6192473
500	0.4687130	0.6083279	0.0722180	0.5838915	0.9224575	0.9993897	0.6782350	0.9991137	0.6929037	0.6200663
550	0.8434784	0.2996052	0.8231076	0.4677317	0.8817279	0.8388567	0.5557836	0.9541159	0.3682250	0.5567784
600	0.9538874	0.1031322	0.9662734	0.2426730	0.7461581	0.5451373	0.3908958	0.9150412	0.3273095	0.4059500
650	0.9864148	0.0370396	0.9935696	0.1430045	0.5376029	0.3701939	0.2844631	0.9467629	0.3847336	0.3042780
700	0.9959977	0.0148183	0.9987740	0.0999616	0.3753468	0.2804195	0.2339532	0.9751578	0.4327548	0.2330978
750	0.9988209	0.0073478	0.9997662	0.0814817	0.2916415	0.2390816	0.2136460	0.9891379	0.4578966	0.1846350
800	0.9996526	0.0048363	0.9999554	0.0735658	0.2535232	0.2212136	0.2060166	0.9950676	0.4691031	0.1559673
850	0.9998977	0.0039921	0.9999915	0.0701784	0.2367963	0.2136942	0.2032054	0.9974691	0.4738463	0.1409969
900	0.9999698	0.0037082	0.9999984	0.0687295	0.2295500	0.2105512	0.2021654	0.9984289	0.4758362	0.1337990
950	0.9999911	0.0036128	0.9999997	0.0681099	0.2264266	0.2092351	0.2017749	0.9988123	0.4766745	0.1305072
1000	0.9999974	0.0035808	0.9999999	0.0678449	0.2250833	0.2086816	0.2016254	0.9989661	0.4770297	0.1290452

0	1.0000000	0.0035646	1.0000000	0.0676497	0.2240852	0.2082806	0.2015287	0.9990696	0.4772897	0.1279382
50	1.0000000	0.0012104	1.0000000	0.0300693	0.2062594	0.2055964	0.2011553	0.9992894	0.4061713	0.2136791
100	1.0000000	0.0004191	1.0000000	0.0140007	0.1983006	0.1997291	0.2004733	0.9996680	0.3993410	0.2078742
150	1.0000000	0.0001531	1.0000000	0.0071300	0.1949093	0.1955910	0.2000912	0.9998711	0.4005714	0.1894592
200	1.0000000	0.0000637	1.0000000	0.0041922	0.1934954	0.1935429	0.1999385	0.9999528	0.4016083	0.1769262
250	1.0000000	0.0000336	1.0000000	0.0029361	0.1929088	0.1926703	0.1998845	0.9999830	0.4020580	0.1704653
300	1.0000000	0.0000235	1.0000000	0.0023990	0.1926657	0.1923223	0.1998663	0.9999939	0.4022284	0.1674900
350	1.0000000	0.0000201	1.0000000	0.0021693	0.1925649	0.1921865	0.1998602	0.9999978	0.4022921	0.1661857
400	1.0000000	0.0000190	1.0000000	0.0020711	0.1925232	0.1921333	0.1998582	0.9999992	0.4023166	0.1656251
450	1.0000000	0.0000186	1.0000000	0.0020292	0.1925059	0.1921122	0.1998575	0.9999997	0.4023263	0.1653857
500	1.0000000	0.0000185	1.0000000	0.0020112	0.1924987	0.1921037	0.1998573	0.9999998	0.4023304	0.1652836
550	1.0000000	0.0023726	1.0000000	0.0395824	0.2097776	0.1932524	0.1998961	0.9999895	0.4774093	0.0727142
600	1.0000000	0.0031639	1.0000000	0.0556471	0.2171075	0.1975471	0.2001951	0.9998675	0.4850135	0.0835431
650	1.0000000	0.0034298	1.0000000	0.0625161	0.2205230	0.2020416	0.2006562	0.9996309	0.4823641	0.1039061
700	1.0000000	0.0035192	1.0000000	0.0654531	0.2222602	0.2050658	0.2010387	0.9994060	0.4798482	0.1164984
750	1.0000000	0.0035493	1.0000000	0.0667089	0.2231630	0.2067356	0.2012782	0.9992516	0.4784668	0.1227786
800	1.0000000	0.0035594	1.0000000	0.0672459	0.2236252	0.2075674	0.2014077	0.9991621	0.4778116	0.1256654
850	1.0000000	0.0035628	1.0000000	0.0674755	0.2238563	0.2079582	0.2014721	0.9991149	0.4775182	0.1269447
